Youtuber,Id,Uploads,Subscribers,Video Views,Country,Account Created
Edureka! ,@edurekaIN,8500,3.7M,366361662,India,"Jun 29th, 2012"
Crash Course,@crashcourse,1400,14.5M,1780876746,United States,"May 20th, 2006"
Alura,@alura,985,352K,20420591,Brazil,"Jan 21st, 2014"
K team,@A7K team,934,181K,26682748,Vietnam,"Oct 22nd,  2014"
Tensorflow,@TensorFlow,570,546K,98005120,United States,"Dec 22nd, 2017"
Great Learning,@greatlearning,1800,748K,91638195,India,"Apr 3rd, 2013"
Dotcsv,@Dotcsv,162,715K,34502534,Spain,"Feb 18th, 2017"
Ridwan Ilyas,@rdwnilyas,391,10.9K,465238,Indonesia,"Jan 26th, 2013"
Google Cloud Tech,@googlecloudtech,4200,946K,67342698,United States,"Jul 22nd, 2014"
Code With Harry,@CodeWithHarry,1900,3.76M,487050694,India,"Apr 28th, 2018"
Filipe Deschamps,@FilipeDeschamps,398,735K,37503653,Brazil,"Apr 15th, 2015"
Joe James,@joejamesusa,245,74.2K,9301758,United States,"Nov 20th, 2013"
Simplilearn,@SimplilearnOfficial,5200,2.83M,285557293,United States,"Oct 29, 2009"
Trouble-Free,@TroubleFreevideos,667,77.5K,14015280,India,"Apr 6th,2020"
Machine learnia,@MachineLearnia,78,113K,6290470,France,"Mar 10th,2019"
Jabrils,@Jabrils,153,498K,24454544,United States,"July 06th, 2015"
Krish Nail,@krishnaik06,1600,720K,70314417,India,"Feb 11th, 2012"
MIT OpenCourseWare,@mitocw,6900,4.4M,381530317,United States,"Oct 11th, 2005"
Samuel Arzt,@SamuelArzt,8,46.5K,13018239,United States,"May 15th, 2016"
Alberto Olla,@albertoOlla,83,49.3K,5037663,Italy,"Jul 4th, 2012"
Technical guruji,@TechnicalGuruji,4800,2.8K,3264989148,India,"Oct 19th, 2015"
Hitesh Choudhary,@HiteshChoudharydotcom,1300,774K,50582169,India,"Oct 24th, 2011"
Well Academy,@WellAcademy,968,467K,38937814,India,"Jun 17th, 2016"
Tech With Tim,@TechWithTim,793,1.16M,104715644,Canada,"Apr 23rd, 2014"
CGP Grey,@CGPGrey,212,5.78M,900683129,United Kingdom,"Aug 13th, 2010"
Doktor Whatson,@DoktorWhatson,228,293K,30436172,Germany,"Aug 25th, 2015"
Ligdi Gonzalez,@aprendelA,304,57.8K,3760009,Unites States,"Sep 29th,2011"
Juan Gabriel Gomila,@JuanGabrielGomila Salas,693,36.4K,1455850,Spain,"Dec 16th, 2015"
Fin Tree,@FintreeIndia,730,134K,11985285,India,"May 23rd, 2012"
codebasics,@codebasics,606,742K,50798454,United States,"Nov 7th, 2015"
Salon Data,@Salon Data,343,3.24K,267564,United States,"Sep 21st, 2017"
Sethbling,@SethBling,1100,2M,640253547,United States,"Dec 20th,2006"
Google Developers,@GoogleDevelopers,5700,2.27M,210277921,United States,"Aug 23rd, 2007"
OpenWebinars,@openwebinarsnet,1400,93.2K,8817655,Spain,"Sep 10th, 2013"
Yannic Kilcher,@YannicKilcher,391,194K,10920100,Switzerland,"Nov 18th, 2013"
